pl_name,hostname,pl_orbper,pl_rade,pl_bmasse
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,,13.9,250.0
Kepler-24 e,Kepler-24,18.998355,2.78,8.15
Kepler-1065 b,Kepler-1065,3.60930891,3.73,13.4
HD 132406 b,HD 132406,908.0,12.8,1887.90074
TOI-1260 c,TOI-1260,7.493134,2.76,13.2
HD 149143 b,HD 149143,4.07182,13.6,422.7139
HD 99492 b,HD 99492,17.0503,5.44,25.5
nu Oph c,nu Oph,3180.6,12.0,7838.32346
75 Cet b,75 Cet,696.62,13.3,787.89662
gam Lib b,gam Lib,414.88,13.7,357.87479
HD 113337 b,HD 113337,317.58639,13.1,1035.80278
HD 28109 c,HD 28109,56.00819,4.23,7.943
K2-350 b,K2-350,4.163873,1.54,2.99
K2-342 b,K2-342,11.561052,2.03,4.78
EPIC 212587672 b,EPIC 212587672,15.28078,1.26,2.13
K2-332 b,K2-332,17.70632,2.2,5.48
K2-340 b,K2-340,29.740451,3.36,11.2
GJ 486 b,GJ 486,1.46712127,1.289,2.77
TOI-6002 b,TOI-6002,10.904821,1.65,3.36
HIP 12961 b,HIP 12961,57.435,13.2,114.4188
HD 11755 b,HD 11755,433.70001,12.8,1789.3829
HD 29985 b,HD 29985,20608.14049,12.8,1739.47487
HD 115954 b,HD 115954,3700.0,12.6,2685.65004
HIP 97233 b,HIP 97233,1062.26506,12.1,6098.17365
HD 95872 b,HD 95872,4375.0,13.0,1188.6842
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,,4.86,21.0
Teegarden's Star c,Teegarden's Star,11.416,1.02,1.05
TOI-1470 b,TOI-1470,2.527093,2.18,7.32
HR 810 b,HR 810,302.79999,12.7,1970.53612
HD 97658 b,HD 97658,9.4897116,2.12,8.3
LTT 3780 b,LTT 3780,0.76837931,1.325,2.46
HIP 41378 c,HIP 41378,31.70648,2.56,7.08
HD 86728 b,HD 86728,31.1515,3.03,9.43
HD 106315 c,HD 106315,21.05704,4.35,15.2
K2-174 b,K2-174,19.562307,2.6,7.27
TOI-2068 b,TOI-2068,7.768915,1.821,3.97
TOI-2180 b,TOI-2180,260.79,11.321,875.61726
TOI-1899 b,TOI-1899,29.090312,11.097,212.94503
HD 22946 d,HD 22946,47.42489,2.607,26.57
Qatar-3 b,Qatar-3,2.5079204,12.285,1369.8473
WASP-159 b,WASP-159,3.840401,15.468,174.8065
WASP-7 b,WASP-7,4.9546416,14.908,305.1168
HD 219134 g,HD 219134,94.2,3.28,10.80622
tau Cet e,tau Cet,162.87,1.81,3.93
Kepler-1465 b,Kepler-1465,31.8277111,1.77,3.78
K2-150 b,K2-150,10.59357,2.0,4.66
NSVS 14256825 b,NSVS 14256825,3225.0,12.3,4497.2945
Kepler-1665 b,Kepler-1665,11.9548,2.839,8.44
KOI-4978 b,KOI-4978,0.941967,0.7,0.271
Kepler-1332 b,Kepler-1332,11.87456832,1.37,2.45
Kepler-1484 b,Kepler-1484,30.4549136,2.11,5.1
Kepler-1486 b,Kepler-1486,54.6495759,2.32,5.99
Kepler-1471 c,Kepler-1471,11.6044881,1.88,4.19
Kepler-1537 b,Kepler-1537,1.4444538,1.18,1.76
Kepler-148 b,Kepler-148,1.729366,1.8,3.89
Kepler-148 c,Kepler-148,4.180043,3.6,12.6
Kepler-1480 b,Kepler-1480,22.12679948,1.67,3.43
Kepler-1481 b,Kepler-1481,5.94220998,1.23,2.04
42 Dra b,42 Dra,479.1,13.0,1233.13
61 Vir c,61 Vir,38.021,4.46,18.2
LTT 1445 A b,LTT 1445 A,5.35876,1.18,2.73
TOI-5301 b,TOI-5301,5.858858,13.092,1182.32167
TOI-669 b,TOI-669,3.945152,2.586,10.0
70 Vir b,70 Vir,116.688,12.6,2380.45
HIP 19976 b,HIP 19976,50.65905,4.94,21.61233
